,lt_id,learningtheorytitle,recommendation
0,6,(constructivist) Self-Directed Learning,"Row(user_id=3, rating=0.9899167418479919)"
1,6,(constructivist) Self-Directed Learning,"Row(user_id=8, rating=0.452920526266098)"
2,6,(constructivist) Self-Directed Learning,"Row(user_id=9, rating=0.452920526266098)"
3,6,(constructivist) Self-Directed Learning,"Row(user_id=2, rating=0.24267908930778503)"
4,6,(constructivist) Self-Directed Learning,"Row(user_id=4, rating=0.1081903725862503)"
5,3,(constructivist) Open Inquiry-Based Learning,"Row(user_id=8, rating=2.9975478649139404)"
6,3,(constructivist) Open Inquiry-Based Learning,"Row(user_id=9, rating=2.9975478649139404)"
7,3,(constructivist) Open Inquiry-Based Learning,"Row(user_id=3, rating=1.8622591495513916)"
8,3,(constructivist) Open Inquiry-Based Learning,"Row(user_id=4, rating=-0.3703581392765045)"
9,3,(constructivist) Open Inquiry-Based Learning,"Row(user_id=2, rating=-1.5064233541488647)"
10,5,(constructivist) Inquisitive Learning,"Row(user_id=2, rating=2.996368885040283)"
11,5,(constructivist) Inquisitive Learning,"Row(user_id=3, rating=0.6738359928131104)"
12,5,(constructivist) Inquisitive Learning,"Row(user_id=4, rating=-0.5508590340614319)"
13,5,(constructivist) Inquisitive Learning,"Row(user_id=8, rating=-1.0173038244247437)"
14,5,(constructivist) Inquisitive Learning,"Row(user_id=9, rating=-1.0173038244247437)"
15,11,(social constructivism) Situated Learning,"Row(user_id=4, rating=4.997807025909424)"
16,11,(social constructivism) Situated Learning,"Row(user_id=3, rating=0.49746307730674744)"
17,11,(social constructivism) Situated Learning,"Row(user_id=8, rating=-0.4141674041748047)"
18,11,(social constructivism) Situated Learning,"Row(user_id=9, rating=-0.4141674041748047)"
19,11,(social constructivism) Situated Learning,"Row(user_id=2, rating=-0.912201464176178)"
